fold,run_id,route,duration_s,model_err_m,baseline_err_m,oracle_err_m,model_drift_pct
0,S-M#0,M/M (Driver B),10.0,8.271,60.663,3.486,6.241
0,S-M#0,M/M (Driver B),10.0,3.777,17.244,3.587,2.68
0,S-M#0,M/M (Driver B),10.0,18.737,112.017,2.899,13.082
0,S-M#0,M/M (Driver B),10.0,5.337,37.616,5.285,4.625
0,S-M#0,M/M (Driver B),10.0,9.764,103.293,2.202,11.409
0,S-M#0,M/M (Driver B),10.0,13.926,9.711,3.378,10.874
0,S-M#0,M/M (Driver B),10.0,2.634,53.445,1.166,2.117
0,S-M#0,M/M (Driver B),10.0,2.327,9.316,4.398,1.983
0,S-M#0,M/M (Driver B),10.0,1.317,47.148,3.367,1.379
0,S-M#0,M/M (Driver B),10.0,4.38,60.074,3.022,5.817
0,S-M#0,M/M (Driver B),10.0,6.574,12.878,2.441,9.206
0,S-M#0,M/M (Driver B),10.0,6.939,21.186,0.914,7.551
0,S-M#0,M/M (Driver B),10.0,13.843,12.734,2.082,14.468
0,S-M#0,M/M (Driver B),10.0,10.605,31.679,2.718,11.859
0,S-M#0,M/M (Driver B),10.0,8.3,48.026,2.659,14.841
0,S-M#0,M/M (Driver B),10.0,5.045,22.571,3.306,5.722
0,S-M#0,M/M (Driver B),10.0,5.389,32.929,3.935,5.098
0,S-M#0,M/M (Driver B),10.0,11.072,42.814,1.505,20.178
0,S-M#0,M/M (Driver B),10.0,8.013,84.712,4.205,12.353
0,S-M#0,M/M (Driver B),10.0,17.234,70.928,2.698,27.601
0,S-M#0,M/M (Driver B),10.0,12.173,22.048,4.234,167.746
0,S-M#0,M/M (Driver B),10.0,1.728,5.503,0.317,46.812
0,S-M#0,M/M (Driver B),10.0,4.595,1.504,2.955,268.051
0,S-M#0,M/M (Driver B),10.0,5.38,1.079,2.687,251.795
0,S-M#0,M/M (Driver B),10.0,6.177,53.524,4.736,11.768
0,S-M#0,M/M (Driver B),10.0,12.193,61.905,1.286,20.881
0,S-M#0,M/M (Driver B),10.0,8.557,2.299,0.369,311.507
0,S-M#0,M/M (Driver B),10.0,15.029,79.405,0.523,25.496
0,S-M#0,M/M (Driver B),10.0,12.932,48.492,2.079,25.634
0,S-M#0,M/M (Driver B),10.0,6.854,116.832,1.838,8.778
0,S-M#0,M/M (Driver B),10.0,15.684,4.775,1.164,18.167
0,S-M#0,M/M (Driver B),10.0,5.331,16.018,1.357,6.551
0,S-M#0,M/M (Driver B),10.0,7.087,76.284,1.386,7.654
0,S-M#0,M/M (Driver B),10.0,6.379,11.355,4.94,6.466
0,S-M#0,M/M (Driver B),10.0,3.185,9.903,1.175,3.39
0,S-M#0,M/M (Driver B),10.0,3.639,11.351,1.155,3.754
0,S-M#0,M/M (Driver B),10.0,6.786,114.46,4.145,9.364
0,S-M#0,M/M (Driver B),10.0,21.126,83.44,1.621,37.35
0,S-M#0,M/M (Driver B),10.0,21.827,13.105,0.382,29.304
0,S-M#0,M/M (Driver B),10.0,6.37,16.217,0.781,11.409
0,S-M#0,M/M (Driver B),10.0,17.873,9.527,0.733,20.633
0,S-M#0,M/M (Driver B),10.0,23.916,19.313,0.968,34.267
0,S-M#0,M/M (Driver B),10.0,5.11,41.16,0.141,14.398
0,S-M#0,M/M (Driver B),10.0,6.183,37.102,1.53,9.477
0,S-M#0,M/M (Driver B),10.0,22.781,3.609,1.185,32.676
0,S-M#0,M/M (Driver B),10.0,9.635,7.576,1.552,13.575
0,S-M#0,M/M (Driver B),10.0,14.2,80.726,1.3,24.531
0,S-M#0,M/M (Driver B),10.0,4.926,83.811,0.525,8.052
0,S-M#0,M/M (Driver B),10.0,13.933,22.887,2.755,19.869
0,S-M#0,M/M (Driver B),10.0,3.146,27.906,2.287,4.781
